cost,publisher,university,year
6455.0,Institute of Physics Publishing,University of Dundee,2012
45207.0,Institute of Physics Publishing,Durham University,2012
317.0,Institute of Physics Publishing,University of East Anglia,2012
,Institute of Physics Publishing,University of East London,2012
,Institute of Physics Publishing,Edge Hill University,2012
22946.0,Institute of Physics Publishing,University of Edinburgh,2012
0.0,Institute of Physics Publishing,Edinburgh Napier University,2012
,Institute of Physics Publishing,University of Essex,2012
14868.0,Institute of Physics Publishing,University of Exeter,2012
0.0,Institute of Physics Publishing,Falmouth University,2012
36767.0,Institute of Physics Publishing,University of Glasgow,2012
5702.0,Institute of Physics Publishing,Glasgow Caledonian University,2012
0.0,Institute of Physics Publishing,University of Gloucestershire,2012
0.0,Institute of Physics Publishing,Glyndŵr University,2012
0.0,Institute of Physics Publishing,"Goldsmiths, University of London",2012
1272.0,Institute of Physics Publishing,University of Greenwich,2012
0.0,Institute of Physics Publishing,Harper Adams University,2012
18369.0,Institute of Physics Publishing,Heriot-Watt University,2012
12689.0,Institute of Physics Publishing,University of Hertfordshire,2012
0.0,Institute of Physics Publishing,Heythrop College,2012
2869.0,Institute of Physics Publishing,University of Huddersfield,2012
2877.0,Institute of Physics Publishing,University of Hull,2012
46420.0,Institute of Physics Publishing,Imperial College London,2012
2036.0,Institute of Physics Publishing,Institute of Cancer Research,2012
311.0,Institute of Physics Publishing,"Institute of Education, University of London",2012
4033.0,Institute of Physics Publishing,Keele University,2012
13873.0,Institute of Physics Publishing,University of Kent,2012
29075.0,Institute of Physics Publishing,King's College London,2012
3058.0,Institute of Physics Publishing,Kingston University,2012
29158.0,Institute of Physics Publishing,Lancaster University,2012
,Institute of Physics Publishing,University of Leeds,2012
0.0,Institute of Physics Publishing,Leeds College of Art,2012
0.0,Institute of Physics Publishing,Leeds Beckett University (formerly Leeds Metropolitan University),2012
0.0,Institute of Physics Publishing,Leeds Trinity University,2012
19342.0,Institute of Physics Publishing,University of Leicester,2012
0.0,Institute of Physics Publishing,University of Lincoln,2012
33553.0,Institute of Physics Publishing,University of Liverpool,2012
0.0,Institute of Physics Publishing,Liverpool Hope University,2012
,Institute of Physics Publishing,Liverpool Institute for Performing Arts,2012
6287.0,Institute of Physics Publishing,Liverpool John Moores University,2012
0.0,Institute of Physics Publishing,University of London (central),2012
0.0,Institute of Physics Publishing,London Business School,2012
,Institute of Physics Publishing,London Metropolitan University,2012
0.0,Institute of Physics Publishing,London School of Economics,2012
0.0,Institute of Physics Publishing,London School of Hygiene and Tropical Medicine,2012
0.0,Institute of Physics Publishing,London South Bank University,2012
26334.0,Institute of Physics Publishing,Loughborough University,2012
53525.0,Institute of Physics Publishing,University of Manchester,2012
0.0,Institute of Physics Publishing,Manchester Metropolitan University,2012
0.0,Institute of Physics Publishing,Middlesex University,2012
39946.0,Institute of Physics Publishing,Newcastle University,2012
316.0,Institute of Physics Publishing,Newman University,2012
0.0,Institute of Physics Publishing,University of Northampton,2012
12082.0,Institute of Physics Publishing,Northumbria University,2012
0.0,Institute of Physics Publishing,Norwich University of the Arts,2012
49529.0,Institute of Physics Publishing,University of Nottingham,2012
2857.0,Institute of Physics Publishing,Nottingham Trent University,2012
43435.0,Institute of Physics Publishing,Open University,2012
36259.0,Institute of Physics Publishing,University of Oxford,2012
2509.0,Institute of Physics Publishing,Oxford Brookes University,2012
0.0,Institute of Physics Publishing,Plymouth University,2012
6778.0,Institute of Physics Publishing,University of Portsmouth,2012
0.0,Institute of Physics Publishing,"Queen Margaret University, Edinburgh",2012
2773.0,Institute of Physics Publishing,"Queen Mary, University of London",2012
39594.0,Institute of Physics Publishing,Queen's University Belfast,2012
0.0,Institute of Physics Publishing,Ravensbourne,2012
4104.0,Institute of Physics Publishing,University of Reading,2012
0.0,Institute of Physics Publishing,Robert Gordon University,2012
0.0,Institute of Physics Publishing,University of Roehampton,2012
,Institute of Physics Publishing,Rose Bruford College,2012
0.0,Institute of Physics Publishing,Royal Academy of Music,2012
0.0,Institute of Physics Publishing,Royal Agricultural University,2012
0.0,Institute of Physics Publishing,Royal College of Art,2012
,Institute of Physics Publishing,Royal College of Music,2012
0.0,Institute of Physics Publishing,Royal Conservatoire of Scotland,2012
23580.0,Institute of Physics Publishing,"Royal Holloway, University of London",2012
0.0,Institute of Physics Publishing,Royal Northern College of Music,2012
,Institute of Physics Publishing,Royal Veterinary College,2012
17456.0,Institute of Physics Publishing,University of Salford,2012
0.0,Institute of Physics Publishing,School of Oriental and African Studies,2012
21720.0,Institute of Physics Publishing,University of Sheffield,2012
0.0,Institute of Physics Publishing,Sheffield Hallam University,2012
0.0,Institute of Physics Publishing,University of South Wales,2012
,Institute of Physics Publishing,University of Southampton,2012
0.0,Institute of Physics Publishing,Southampton Solent University,2012
